year	statecode	p5	p10	p15	p20	p25	p30	p35	p40	p45	p50	p55	p60	p65	p70	p75	p80	p85	p90	p95	intra_dummy
2000	"Florida"	7.17012	8.517193	8.987197	9.305651	9.510445	9.680344	9.798127	9.903487	10.00821	10.12663	10.21464	10.30895	10.39959	10.49127	10.60381	10.7369	10.88744	11.08337	11.4406	1
2001	"Florida"	7.843064	8.763428	9.21034	9.425451	9.615806	9.769957	9.903487	9.998797	10.11888	10.20359	10.30895	10.37349	10.4655	10.57643	10.66896	10.79892	10.91988	11.08773	11.351	1
1977	"Georgia"	6.841616	7.409742	7.740664	8.086411	8.376551	8.522578	8.655214	8.773075	8.853665	8.961879	9.047821	9.159047	9.239122	9.337853	9.449357	9.568015	9.680344	9.819073	9.99104	0
1978	"Georgia"	6.55108	7.313221	7.676474	8.097122	8.36637	8.520188	8.699514	8.836374	8.922658	9.047821	9.13777	9.212338	9.30928	9.395575	9.546813	9.615806	9.753246	9.903487	10.13955	0
1979	"Georgia"	6.016157	7.336937	7.824046	8.160519	8.437934	8.570354	8.719317	8.881836	8.987197	9.106867	9.21114	9.305651	9.405085	9.514142	9.620461	9.74736	9.875551	9.998797	10.24174	0
1980	"Georgia"	5.298317	7.138867	7.783224	8.147577	8.497807	8.699514	8.853665	8.987197	9.10498	9.21034	9.308374	9.405085	9.511259	9.643874	9.773834	9.902186	10.00107	10.14447	10.33364	0
1981	"Georgia"	5.948035	7.393263	8.006368	8.34284	8.588024	8.764053	8.974618	9.10498	9.213535	9.305651	9.39682	9.517825	9.616805	9.755568	9.890807	9.999207	10.1346	10.30935	10.50507	0
1982	"Georgia"	6.563856	7.649693	8.242756	8.517193	8.732305	8.883224	9.017968	9.140133	9.247828	9.368114	9.453286	9.559236	9.669662	9.768641	9.903487	10.02345	10.14018	10.30912	10.5726	0
1983	"Georgia"	6.49224	7.536364	8.064008	8.305237	8.611048	8.748305	8.922658	9.104424	9.220389	9.382611	9.441055	9.581903	9.660141	9.764226	9.903487	10.0745	10.20359	10.38087	10.60886	1
1984	"Georgia"	6.35437	7.600903	8.102587	8.501063	8.779557	8.962776	9.10498	9.21034	9.305651	9.413853	9.546813	9.622582	9.740969	9.821084	9.905985	10.069	10.23996	10.37349	10.60992	1
1985	"Georgia"	6.779922	7.792349	8.283999	8.631414	8.860073	9.041922	9.21034	9.316051	9.425451	9.546813	9.633121	9.729135	9.810275	9.903487	10.00143	10.13261	10.26207	10.44607	10.71885	1
1986	"Georgia"	6.408529	7.683403	8.112228	8.50512	8.78309	8.987197	9.164296	9.305651	9.392662	9.548026	9.6453	9.743905	9.870241	9.977202	10.09621	10.18347	10.30895	10.4631	10.65325	1
1987	"Georgia"	6.437752	7.677864	8.238008	8.780327	9.011889	9.21034	9.305651	9.42827	9.549665	9.655026	9.740969	9.825526	9.914428	10.02716	10.15132	10.23996	10.34203	10.55854	10.79522	1
1988	"Georgia"	7.131699	8.05706	8.657998	8.935904	9.10498	9.28387	9.392662	9.501815	9.615806	9.74279	9.825526	9.952278	10.04325	10.14882	10.25414	10.33482	10.4391	10.60155	10.81473	1
1989	"Georgia"	6.745236	8.101678	8.43815	8.699514	8.987197	9.217813	9.41001	9.541872	9.628261	9.704976	9.803115	9.903737	10.03298	10.13062	10.24317	10.36973	10.49349	10.6419	10.87805	1
1990	"Georgia"	7.495542	8.299037	8.630522	8.987197	9.214333	9.392662	9.537844	9.680344	9.742145	9.834298	9.92818	9.999525	10.09398	10.20489	10.31228	10.43743	10.59813	10.77921	11.01824	1
1991	"Georgia"	7.090077	7.918629	8.501063	8.775241	9.008958	9.249561	9.463042	9.588092	9.69892	9.799682	9.903487	9.999207	10.12663	10.20359	10.30895	10.40441	10.55321	10.75801	10.98927	1
1992	"Georgia"	6.984716	8.086411	8.517193	8.814776	9.05614	9.21034	9.368626	9.517825	9.677778	9.798127	9.913438	10.00965	10.12815	10.24021	10.36322	10.44013	10.60287	10.71553	10.86446	1
1993	"Georgia"	7.042286	8.006368	8.430109	8.777555	8.985946	9.21034	9.472705	9.615806	9.719564	9.858751	10.02127	10.12663	10.21097	10.31394	10.37387	10.49225	10.65136	10.84934	11.11394	1
1994	"Georgia"	6.993015	8.294049	8.64453	9.024131	9.305651	9.464983	9.615806	9.729135	9.852194	9.933095	10.04325	10.12863	10.20913	10.31808	10.4631	10.55109	10.66078	10.84431	11.0997	1
1995	"Georgia"	6.980076	8.128881	8.682708	8.976389	9.21034	9.389323	9.560433	9.680344	9.798127	9.903487	9.999207	10.12663	10.20913	10.31228	10.45961	10.5717	10.67475	10.859	11.16805	1
1996	"Georgia"	7.495542	8.308692	8.676929	9.082507	9.289614	9.502263	9.624104	9.772296	9.870551	9.994105	10.08581	10.20359	10.30995	10.39818	10.475	10.59663	10.71801	10.89729	11.23419	1
1997	"Georgia"	7.625595	8.509362	8.732305	9.112176	9.392662	9.546813	9.617138	9.808682	9.943189	10.07639	10.12743	10.23996	10.34174	10.4631	10.53789	10.63345	10.77896	10.94526	11.29791	1
1998	"Georgia"	7.654443	8.517193	8.967377	9.21034	9.476543	9.667955	9.798127	9.903487	10.0032	10.09059	10.18414	10.27505	10.34181	10.4631	10.54666	10.65726	10.80269	10.9639	11.18378	1
1999	"Georgia"	7.377759	8.556414	8.961879	9.236592	9.48638	9.680344	9.826607	9.952278	10.08581	10.13741	10.23996	10.31278	10.41217	10.51867	10.62133	10.72547	10.86452	11.0151	11.27847	1
2000	"Georgia"	7.677864	8.594154	8.987197	9.349668	9.546813	9.748937	9.862665	9.963218	10.0478	10.14191	10.24192	10.32012	10.43412	10.54639	10.64542	10.75552	10.859	11.02027	11.2619	1
2001	"Georgia"	8.006368	8.818778	9.21682	9.472705	9.642123	9.802396	9.929983	10.04425	10.12679	10.24085	10.30895	10.42822	10.53282	10.60068	10.71508	10.82642	10.99035	11.15628	11.42425	1
1977	"Hawaii"	7.813996	8.338066	8.556414	8.714075	8.881836	8.964696	9.043459	9.10498	9.21034	9.305651	9.388905	9.421412	9.507329	9.585003	9.682218	9.751501	9.852194	9.944294	10.14097	0
1978	"Hawaii"	6.576469	7.747597	8.188689	8.517193	8.699514	8.839276	8.987197	9.10498	9.21034	9.295967	9.364434	9.431402	9.538277	9.618602	9.740969	9.803667	9.883387	9.963641	10.17199	0
1979	"Hawaii"	5.843544	7.244227	7.867871	8.268732	8.567316	8.735686	8.938926	9.017968	9.118225	9.215328	9.341369	9.430199	9.536185	9.615806	9.741557	9.81192	9.929399	10.03157	10.12983	0
1980	"Hawaii"	5.010635	6.932448	7.861342	8.318742	8.639411	8.883918	8.999619	9.11603	9.232004	9.323669	9.401374	9.512738	9.636392	9.744199	9.836279	9.905985	9.971147	10.0861	10.22738	0
1981	"Hawaii"	5.70711	7.644919	8.17892	8.587651	8.832004	8.975124	9.129239	9.230143	9.339349	9.433484	9.511851	9.609117	9.681094	9.787796	9.87817	9.976738	10.04949	10.17922	10.37346	0
1982	"Hawaii"	5.010635	7.447751	8.216628	8.60959	8.860783	9.051579	9.198369	9.305651	9.392662	9.466145	9.560997	9.678843	9.7648	9.831884	9.952278	10.05186	10.12843	10.26813	10.4657	0
1983	"Hawaii"	5.575949	7.319865	8.027476	8.550821	8.77106	9.024011	9.199078	9.296977	9.393911	9.472705	9.588434	9.681218	9.769957	9.86672	9.968807	10.09204	10.19485	10.3156	10.546	0
1984	"Hawaii"	6.278522	7.886081	8.411833	8.661467	8.950014	9.145802	9.296518	9.392995	9.484177	9.595603	9.665865	9.755568	9.835744	9.946212	10.08602	10.17903	10.29722	10.40535	10.59663	0
1985	"Hawaii"	6.620073	7.824046	8.517193	8.811056	9.034796	9.21034	9.339173	9.440896	9.546813	9.62245	9.695848	9.800957	9.903487	10.00107	10.1186	10.22865	10.33566	10.5037	10.78077	0
1986	"Hawaii"	6.357842	7.751045	8.450412	8.812099	9.065314	9.215328	9.370331	9.4572	9.611731	9.680781	9.769957	9.852194	9.905985	10.02783	10.12663	10.22194	10.31857	10.49957	10.71506	1
1987	"Hawaii"	6.745236	8.14613	8.517193	8.81046	9.132379	9.305651	9.403108	9.550378	9.633384	9.740969	9.852194	9.91591	10.01458	10.12663	10.23189	10.31394	10.41679	10.56489	10.75449	1
1988	"Hawaii"	5.916202	8.006368	8.699514	9.08455	9.25913	9.392829	9.50963	9.615806	9.69892	9.798127	9.880731	9.961757	10.07492	10.16624	10.31178	10.39274	10.51053	10.66546	10.88272	1
1989	"Hawaii"	6.897705	8.182559	8.601534	8.987197	9.21034	9.365291	9.472705	9.615806	9.712025	9.798682	9.903487	9.964112	10.04325	10.12703	10.23688	10.34255	10.49127	10.65247	10.83433	1
1990	"Hawaii"	6.952729	8.210668	8.665613	9.066355	9.305651	9.471781	9.598998	9.73572	9.852194	9.930616	10.01234	10.08997	10.16796	10.28364	10.37349	10.47099	10.55321	10.7364	11.00335	1
1991	"Hawaii"	8.129765	8.824089	9.164087	9.396737	9.546813	9.680344	9.763995	9.900483	9.999525	10.08585	10.16585	10.24594	10.30945	10.389	10.47729	10.59288	10.71442	10.87805	11.24304	1
1992	"Hawaii"	7.313221	8.517193	8.992185	9.222763	9.41001	9.595942	9.740969	9.846176	9.913438	10.03701	10.12863	10.19433	10.30895	10.3671	10.4688	10.59788	10.71442	10.88744	11.21182	1
1993	"Hawaii"	6.907755	8.486734	9.030256	9.305651	9.49552	9.656052	9.767095	9.866201	9.992139	10.08581	10.14459	10.21976	10.30895	10.3617	10.49127	10.59688	10.7411	10.90068	11.07046	1
1994	"Hawaii"	7.313221	8.575462	9.002209	9.274629	9.449357	9.682218	9.802949	9.903487	9.952754	10.0761	10.16585	10.25432	10.32548	10.42993	10.4961	10.59736	10.68746	10.8897	11.08214	1
1995	"Hawaii"	7.383989	8.476371	8.922925	9.254549	9.448491	9.55393	9.680344	9.798405	9.908475	10.02721	10.13062	10.23638	10.31092	10.39329	10.49681	10.60906	10.73672	10.93321	11.13678	1
1996	"Hawaii"	7.652546	8.665613	9.081939	9.305651	9.501965	9.665231	9.781489	9.893185	9.960671	10.06476	10.1367	10.23996	10.35073	10.43776	10.52953	10.65542	10.78	10.91948	11.19279	1
1997	"Hawaii"	7.661998	8.476371	8.881836	9.164715	9.350798	9.524494	9.62905	9.798127	9.903487	10.00478	10.12663	10.17922	10.30895	10.43023	10.53049	10.61398	10.71708	10.87805	11.13896	1
1998	"Hawaii"	7.472501	8.598589	9.036106	9.225229	9.39682	9.680969	9.852194	9.914428	10.01032	10.10643	10.17351	10.30912	10.43447	10.49197	10.59663	10.67702	10.82975	11.0021	11.15711	1
1999	"Hawaii"	6.806829	8.61577	8.987822	9.39066	9.615806	9.798127	9.903487	10.00197	10.09411	10.16873	10.30895	10.35774	10.4815	10.59663	10.64542	10.74734	10.83958	10.95618	11.15267	1
2000	"Hawaii"	7.783224	8.678632	9.09829	9.348274	9.546813	9.740969	9.903487	9.981004	10.12535	10.19242	10.27805	10.37349	10.46704	10.59021	10.66896	10.79749	10.95606	11.128	11.48286	1
2001	"Hawaii"	8.101678	8.756525	9.262553	9.510445	9.740969	9.889895	9.998797	10.08593	10.17115	10.30895	10.35885	10.4631	10.54534	10.62152	10.71586	10.81978	10.93311	11.06726	11.3022	1
1977	"Idaho"	6.572282	7.560081	7.87093	8.222016	8.459564	8.571681	8.748305	8.868554	9.016756	9.120416	9.21034	9.303284	9.379914	9.468542	9.575191	9.640238	9.762788	9.86511	10.04325	1
1978	"Idaho"	6.39693	7.316548	7.832014	8.188689	8.517193	8.699514	8.853665	9.037771	9.190138	9.280053	9.329722	9.403685	9.480139	9.55393	9.62192	9.723164	9.850561	9.971847	10.16558	1
1979	"Idaho"	5.09375	6.590301	7.300473	7.915713	8.188689	8.551787	8.791182	8.945202	9.10498	9.21034	9.307739	9.411484	9.536546	9.615806	9.703572	9.798127	9.903487	10.06275	10.20692	1
1980	"Idaho"	4.025352	6.230482	7.34601	7.901007	8.188689	8.417373	8.699514	8.859932	9.10498	9.213336	9.360139	9.442166	9.554498	9.670357	9.755568	9.840281	9.931249	10.04546	10.20957	1
1981	"Idaho"	4.867535	6.214608	7.245655	8.006368	8.335671	8.612867	8.816112	8.989445	9.159468	9.277438	9.392662	9.473089	9.604071	9.680844	9.742732	9.852563	9.962463	10.09204	10.24612	1
1982	"Idaho"	4.60517	6.154858	7.377759	8.006368	8.395703	8.609043	8.78722	8.987197	9.21034	9.326433	9.417842	9.560997	9.626548	9.740969	9.852194	9.964395	10.09204	10.20385	10.35615	1
1983	"Idaho"	3.912023	6.39693	7.325149	8.001355	8.387996	8.659387	8.89563	9.074521	9.212837	9.310185	9.411239	9.546813	9.62905	9.749228	9.852457	10.02442	10.15891	10.30995	10.45832	1
1984	"Idaho"	4.804021	6.620073	7.441907	8.089789	8.460411	8.713582	8.919988	9.159047	9.29321	9.392829	9.49552	9.615806	9.711116	9.804661	9.946115	10.06484	10.19988	10.37817	10.55425	1
1985	"Idaho"	5.703783	7.064759	7.853605	8.294049	8.525954	8.825119	9.012621	9.21034	9.347316	9.433484	9.546884	9.642123	9.740969	9.851299	9.905985	10.04975	10.15035	10.30895	10.48055	1
1986	"Idaho"	5.298317	7.110696	7.760893	8.229511	8.585226	8.756053	8.987197	9.197559	9.350189	9.464983	9.562546	9.652908	9.756379	9.862665	9.939819	10.04325	10.17732	10.35774	10.59663	1
1987	"Idaho"	5.575949	6.907755	7.696213	8.070906	8.396606	8.699514	8.916506	9.097956	9.296518	9.450302	9.556905	9.680344	9.743612	9.868689	9.953943	10.06688	10.20418	10.37349	10.59663	1
1988	"Idaho"	6.030685	7.600903	8.006368	8.421123	8.78722	9.024011	9.21034	9.321703	9.406729	9.546813	9.66046	9.753246	9.852194	9.961757	10.06637	10.21152	10.32489	10.48615	10.73661	1
1989	"Idaho"	6.173786	7.495542	8.216088	8.556414	8.853665	9.071078	9.230143	9.329545	9.474626	9.612467	9.704488	9.820106	9.903538	9.999933	10.1009	10.22172	10.37349	10.52005	10.82078	1
1990	"Idaho"	6.405229	7.615791	8.23111	8.56121	8.770595	8.996652	9.219795	9.350102	9.473934	9.615806	9.749753	9.873029	9.999252	10.08681	10.17987	10.29539	10.38625	10.56975	10.81043	1
1991	"Idaho"	6.39693	7.768533	8.209309	8.581482	8.818186	9.045938	9.241839	9.393162	9.522373	9.635674	9.770641	9.852615	9.952278	10.07656	10.17542	10.29381	10.37349	10.53964	10.74262	1
1992	"Idaho"	6.879356	7.696213	8.434464	8.70417	8.964824	9.158415	9.305651	9.468388	9.595195	9.681094	9.798127	9.90723	9.998797	10.12663	10.19616	10.33689	10.44572	10.57794	10.85147	1
1993	"Idaho"	6.214608	7.772753	8.414495	8.790269	9.006999	9.254357	9.399306	9.546813	9.655026	9.783859	9.855348	9.916651	10.00333	10.12663	10.23996	10.3791	10.49612	10.66744	10.91924	1
1994	"Idaho"	6.918695	8.01036	8.612503	8.982938	9.169518	9.385553	9.517825	9.625095	9.741322	9.858804	9.952849	10.08581	10.19276	10.28192	10.37349	10.49127	10.59663	10.74598	10.95002	1
1995	"Idaho"	7.21524	8.395703	8.853665	9.135617	9.306741	9.432923	9.55393	9.646335	9.769957	9.903487	9.998797	10.08585	10.18822	10.29215	10.37947	10.51567	10.68201	10.83665	11.08214	1
1996	"Idaho"	7.090077	7.908387	8.556414	8.815518	9.105091	9.344696	9.488276	9.620329	9.740969	9.908475	9.996203	10.09663	10.16585	10.27674	10.37661	10.53223	10.65349	10.8202	11.13313	1
1997	"Idaho"	7.069024	8.411833	8.699514	9.002209	9.210441	9.392662	9.547669	9.674704	9.767095	9.893841	9.998797	10.09493	10.17351	10.29479	10.40426	10.55321	10.67591	10.79755	10.99457	1
1998	"Idaho"	7.571474	8.517193	8.858227	9.21034	9.392662	9.535318	9.682218	9.852194	9.933046	10.00247	10.10258	10.18509	10.27505	10.34352	10.4631	10.55062	10.6862	10.86284	11.21439	1
1999	"Idaho"	7.522941	8.517193	8.990566	9.21034	9.392662	9.574984	9.720886	9.855295	9.953039	10.08581	10.16585	10.24832	10.34817	10.4193	10.5026	10.6046	10.78208	10.96975	11.20504	1
2000	"Idaho"	7.390799	8.517193	9.059518	9.21134	9.429556	9.655026	9.798127	9.903487	10.0022	10.12503	10.19504	10.30895	10.37349	10.4631	10.55456	10.67325	10.80505	10.97389	11.25286	1
2001	"Idaho"	7.575585	8.691147	8.99293	9.25913	9.490394	9.63076	9.798127	9.92471	10.03452	10.12663	10.23002	10.31434	10.39666	10.49322	10.60938	10.7429	10.87455	11.07198	11.41881	1
1977	"Illinois"	6.684612	7.572503	8.006368	8.294049	8.517193	8.77771	8.922658	9.047821	9.187686	9.277999	9.392662	9.472705	9.560997	9.637176	9.736015	9.809176	9.908575	10.0478	10.25464	0
1978	"Illinois"	6.745236	7.625595	8.124447	8.409163	8.632306	8.853665	8.994669	9.11603	9.218308	9.336973	9.435322	9.547526	9.635608	9.740969	9.825526	9.903487	9.998797	10.12663	10.33071	0
1979	"Illinois"	6.376727	7.443664	7.972466	8.294049	8.556414	8.802372	8.987197	9.106091	9.230143	9.375854	9.476543	9.615806	9.680344	9.741557	9.852194	9.937889	10.03276	10.14514	10.35201	0
1980	"Illinois"	5.164786	6.907755	7.696213	8.182559	8.517193	8.764053	8.989694	9.126959	9.26426	9.392662	9.524786	9.615806	9.711116	9.800901	9.900985	9.964911	10.06177	10.20821	10.4342	0
1981	"Illinois"	5.010635	6.877296	7.749753	8.196988	8.522778	8.781402	9.002701	9.210541	9.336797	9.439625	9.547883	9.658162	9.783352	9.862665	9.952278	10.04997	10.14034	10.28428	10.5078	0
1982	"Illinois"	5.521461	7.270313	8.006368	8.433811	8.699514	8.958154	9.145482	9.307104	9.409191	9.54717	9.62905	9.741028	9.825526	9.916651	10.02172	10.12663	10.22256	10.34197	10.59663	0
1983	"Illinois"	5.298317	7.224753	8.006368	8.371011	8.711937	9.017847	9.21114	9.385553	9.499271	9.62245	9.740969	9.83285	9.923879	10.03495	10.11876	10.20917	10.32876	10.44115	10.64697	0
1984	"Illinois"	5.231109	7.279319	7.979339	8.348537	8.641179	8.924257	9.159047	9.319195	9.483111	9.615806	9.717158	9.813562	9.905985	10.00785	10.11658	10.20544	10.30962	10.4631	10.68625	0
1985	"Illinois"	5.57973	7.297768	8.006368	8.361709	8.699514	8.975124	9.21034	9.3147	9.472705	9.615806	9.740969	9.849137	9.933046	10.05018	10.13062	10.23996	10.34631	10.49996	10.74506	0
1986	"Illinois"	5.703783	7.521859	8.14613	8.478245	8.738735	9.035987	9.259987	9.413281	9.581903	9.690046	9.805875	9.906483	10.00093	10.09745	10.18074	10.30728	10.40547	10.546	10.76228	0
1987	"Illinois"	5.991465	7.606388	8.268732	8.696176	8.987197	9.228966	9.393079	9.517825	9.625756	9.761348	9.856133	9.957028	10.05621	10.16192	10.25009	10.32996	10.44915	10.59663	10.80466	0
1988	"Illinois"	6.214608	7.673223	8.261526	8.594154	8.956222	9.21034	9.392662	9.546813	9.678091	9.79957	9.904238	10.01726	10.12663	10.21097	10.31231	10.41643	10.53076	10.67822	10.88275	1
1989	"Illinois"	6.345636	7.783224	8.319717	8.699514	9.000484	9.294682	9.472705	9.62905	9.798127	9.903487	9.985067	10.09922	10.17542	10.27557	10.37349	10.46596	10.59793	10.7364	10.97379	1
1990	"Illinois"	6.632002	8.006368	8.425735	8.796339	9.108308	9.392662	9.553221	9.680344	9.797294	9.903487	9.998797	10.09411	10.20729	10.31112	10.40366	10.49681	10.62011	10.74454	11.0104	1
1991	"Illinois"	6.802395	8.015657	8.49372	8.86785	9.169518	9.393079	9.581903	9.69892	9.838949	9.932512	10.04342	10.1346	10.21391	10.31185	10.41241	10.53009	10.66111	10.8006	11.04612	1
1992	"Illinois"	6.907755	8.044947	8.49372	8.853665	9.148465	9.340228	9.49552	9.661416	9.825526	9.944725	10.04988	10.14643	10.24438	10.33364	10.4631	10.56489	10.66896	10.82228	11.08139	1
1993	"Illinois"	7.130899	8.253227	8.630522	8.974618	9.230143	9.400961	9.583627	9.707898	9.856029	9.953943	10.07386	10.14886	10.25062	10.32555	10.45737	10.56985	10.67589	10.82407	11.11245	1
1994	"Illinois"	7.047517	8.22791	8.669056	9.001716	9.248117	9.447229	9.615806	9.753653	9.903487	9.999252	10.12503	10.21097	10.30895	10.38282	10.498	10.60659	10.7313	10.88369	11.1302	1
1995	"Illinois"	7.30586	8.411833	8.756053	9.140454	9.392662	9.603463	9.744609	9.865267	9.973527	10.09204	10.17922	10.29762	10.36923	10.46336	10.57388	10.66088	10.78986	10.961	11.2274	1
1996	"Illinois"	7.390799	8.476371	8.853665	9.199583	9.392662	9.549665	9.707473	9.873029	9.987001	10.12663	10.24039	10.31394	10.40429	10.49405	10.59723	10.71442	10.8423	11.01474	11.26109	1
1997	"Illinois"	7.355641	8.510773	8.878776	9.21104	9.472705	9.6565	9.805875	9.944438	10.06701	10.16585	10.27681	10.37349	10.4633	10.56875	10.6478	10.75943	10.87807	11.06403	11.31267	1
1998	"Illinois"	7.575585	8.630522	9.047939	9.392662	9.615806	9.790095	9.903487	10.00152	10.12663	10.19701	10.30895	10.37349	10.46416	10.57132	10.65872	10.78934	10.90228	11.1117	11.40846	1
1999	"Illinois"	7.759187	8.699514	9.15715	9.392662	9.615806	9.798127	9.942708	10.08264	10.16585	10.27505	10.36432	10.4631	10.54666	10.63706	10.74617	10.84776	11.00077	11.16124	11.424	1
2000	"Illinois"	7.937375	8.830543	9.249561	9.504203	9.680719	9.889135	10.0452	10.12823	10.25766	10.30979	10.40426	10.49197	10.59663	10.69197	10.80131	10.90044	11.04415	11.21469	11.49781	1
2001	"Illinois"	7.638198	8.794825	9.21144	9.489562	9.686575	9.892376	10.03802	10.12663	10.2458	10.32565	10.43412	10.50021	10.59663	10.6934	10.82122	10.9181	11.05089	11.23849	11.51293	1
1977	"Indiana"	6.620073	7.375256	7.958577	8.26101	8.50512	8.630522	8.793612	8.909235	9.011889	9.140669	9.248599	9.325721	9.429797	9.510445	9.583076	9.672312	9.764226	9.856133	10.12262	0
1978	"Indiana"	6.253829	7.428333	7.928406	8.315811	8.517193	8.699514	8.88461	8.987197	9.093806	9.202409	9.285541	9.399306	9.480368	9.575053	9.663516	9.746834	9.852194	9.971334	10.1716	0
1979	"Indiana"	5.857933	7.296413	7.783224	8.160519	8.514389	8.699514	8.881836	9.007612	9.107754	9.222664	9.336356	9.41979	9.536402	9.62905	9.711661	9.803667	9.904986	10.01838	10.16585	0
1980	"Indiana"	4.60517	6.39693	7.600903	8.082711	8.476371	8.748305	8.946375	9.060679	9.21034	9.310185	9.437635	9.566265	9.658226	9.740969	9.810879	9.903487	10.00129	10.10439	10.25766	0
1981	"Indiana"	5.298317	6.907755	7.824046	8.199739	8.517193	8.75274	8.948976	9.105091	9.230143	9.326344	9.444385	9.55747	9.64795	9.740969	9.852194	9.911207	10.01682	10.13222	10.31394	0
1982	"Indiana"	4.248495	6.439351	7.392648	7.955074	8.376321	8.699514	8.915835	9.050758	9.21034	9.307467	9.433484	9.54931	9.649176	9.759212	9.903487	10.00333	10.12519	10.24352	10.43614	0
1983	"Indiana"	5.298317	7.090077	7.824046	8.188689	8.536996	8.840146	8.990566	9.159047	9.288227	9.393911	9.546813	9.619133	9.737551	9.816512	9.908425	10.04329	10.12767	10.25062	10.49155	0
1984	"Indiana"	5.308268	7.3518	7.93308	8.294049	8.60813	8.79179	8.987197	9.157361	9.284891	9.461488	9.55393	9.680344	9.758462	9.838949	9.942708	10.08585	10.16662	10.30895	10.47334	0
1985	"Indiana"	5.877736	6.956545	8.0047	8.427706	8.718663	8.969542	9.135833	9.304923	9.4572	9.581903	9.711116	9.798127	9.85692	9.975808	10.08806	10.1672	10.30895	10.41031	10.58304	0
1986	"Indiana"	5.886104	7.600903	8.060856	8.490438	8.805076	9.020994	9.21034	9.384294	9.47884	9.615806	9.711116	9.805875	9.903737	9.995565	10.08602	10.18301	10.31394	10.46951	10.64542	0
1987	"Indiana"	5.703783	7.352441	8.083328	8.475121	8.704502	8.987197	9.21034	9.329012	9.437476	9.552582	9.67621	9.785548	9.903487	9.978131	10.08581	10.20448	10.30962	10.45711	10.60659	0
1988	"Indiana"	5.926926	7.720905	8.251143	8.517193	8.753845	8.988696	9.211539	9.31713	9.472705	9.595399	9.669788	9.760829	9.862665	9.971334	10.09926	10.20378	10.31125	10.47022	10.62862	0
1989	"Indiana"	5.857933	7.625595	8.357024	8.70118	8.98932	9.249561	9.4572	9.553008	9.648595	9.748295	9.842782	9.942371	10.006	10.12663	10.21428	10.3156	10.46325	10.57301	10.76215	1
1990	"Indiana"	6.659294	7.937375	8.476371	8.938532	9.11052	9.306923	9.470549	9.591581	9.680344	9.798127	9.873029	9.945109	10.04325	10.1401	10.25766	10.37349	10.4801	10.64645	10.84154	1
1991	"Indiana"	7.003066	8.165079	8.58672	8.938794	9.18656	9.335032	9.476543	9.615806	9.719564	9.825634	9.908475	10.01682	10.08934	10.19096	10.30995	10.39696	10.49957	10.66896	10.84349	1
1992	"Indiana"	6.282267	8.070906	8.476371	8.853665	9.035511	9.21662	9.39682	9.615806	9.702595	9.799237	9.903487	9.98253	10.0908	10.20359	10.30561	10.40623	10.5257	10.64631	10.86895	1
1993	"Indiana"	7.258412	8.160519	8.667508	9.053686	9.305651	9.433723	9.615806	9.690418	9.806536	9.905036	9.996522	10.06416	10.12663	10.20267	10.30079	10.39458	10.48849	10.69195	10.95454	1
1994	"Indiana"	7.313221	8.188967	8.699514	8.987197	9.305651	9.472705	9.615806	9.690913	9.809176	9.918376	10.02145	10.10643	10.16823	10.29218	10.40426	10.46775	10.60197	10.74212	10.94685	1
1995	"Indiana"	6.802395	8.458928	8.824384	9.059518	9.275191	9.472781	9.623509	9.740969	9.837348	9.92818	10.03012	10.12663	10.20363	10.30895	10.42736	10.54534	10.62315	10.81978	11.04132	1
1996	"Indiana"	7.313221	8.476371	8.85723	9.169518	9.355133	9.550805	9.711116	9.829141	9.903487	9.998797	10.08843	10.16585	10.24512	10.35533	10.47022	10.55633	10.64662	10.82028	11.19086	1
1997	"Indiana"	7.907651	8.699514	9.10498	9.372629	9.547241	9.680344	9.798127	9.903487	9.964441	10.05981	10.12943	10.23996	10.30895	10.37692	10.4871	10.58911	10.69711	10.83133	11.11245	1
1998	"Indiana"	8.006368	8.699514	9.082507	9.339701	9.481436	9.648595	9.809176	9.906483	10.02571	10.12663	10.18588	10.30895	10.37349	10.4631	10.54133	10.64662	10.76245	10.88311	11.15768	1
1999	"Indiana"	7.028202	8.684063	9.10498	9.389741	9.539644	9.695048	9.862665	9.999252	10.10234	10.17922	10.26354	10.35545	10.4631	10.52476	10.63739	10.74506	10.88052	11.01863	11.25579	1
2000	"Indiana"	6.261492	8.306472	8.888481	9.363062	9.615806	9.723164	9.849981	9.952278	10.08581	10.14722	10.25626	10.3421	10.4631	10.55059	10.67079	10.77896	10.85996	11.05523	11.22524	1
2001	"Indiana"	7.600903	8.827908	9.21034	9.510889	9.692766	9.856186	9.998797	10.10855	10.19616	10.27115	10.3189	10.40829	10.51336	10.59943	10.70838	10.81978	10.93311	11.09897	11.37605	1
1977	"Iowa"	6.084499	7.17012	7.740664	8.006368	8.303752	8.526153	8.699514	8.85438	8.987197	9.143024	9.257701	9.323669	9.39765	9.510445	9.602383	9.674891	9.785548	9.903487	10.15813	0
1978	"Iowa"	6.202536	7.003066	7.740664	8.116715	8.389359	8.556414	8.79936	8.970559	9.047821	9.198268	9.305651	9.41532	9.527338	9.583007	9.648595	9.740969	9.828225	9.952278	10.13595	0
1979	"Iowa"	5.521461	6.742881	7.617268	8.098339	8.3754	8.689465	8.848079	9.029179	9.180706	9.305651	9.392662	9.458996	9.559306	9.65509	9.717459	9.800901	9.908475	10.06476	10.31394	0
